guesses,green_expected,yellow_expected
acker,0.312311015,1.177969762
acmes,0.257451404,1.179265659
acmic,0.186177106,0.820302376
acned,0.326565875,1.112311015
acnes,0.291144708,1.254427646
acock,0.298056156,0.678185745
acold,0.304535637,1.011231102
acred,0.336933045,1.225917927
acres,0.301511879,1.368034557
acros,0.221166307,1.28336933
acted,0.314470842,1.174946004
actin,0.250539957,1.140388769
acton,0.239308855,1.162850972
acyls,0.176241901,1.135637149
adaws,0.228509719,0.704103672
adays,0.219006479,0.809935205
adbot,0.260475162,0.98574514
addax,0.175809935,0.431965443
added,0.290280778,0.727429806
adder,0.330885529,1.047948164
addio,0.19524838,0.93650108
addle,0.354643629,0.942116631
adeem,0.301511879,0.909287257
adhan,0.2,0.783585313
adieu,0.32224622,1.162419006
adios,0.257019438,1.13174946
adits,0.260043197,1.126133909
adman,0.222462203,0.726133909
admen,0.289416847,1.084665227
admix,0.167602592,0.808639309
adobo,0.210367171,0.782721382
adown,0.241900648,0.92224622
adoze,0.366306695,0.947300216
adrad,0.261339093,0.692008639
adred,0.328293737,1.050539957
adsum,0.157667387,0.987041037
aduki,0.169330454,0.946868251
adunc,0.232829374,0.947732181
adust,0.323542117,0.980561555
advew,0.235421166,0.920518359
adyta,0.169762419,0.880777538
adzed,0.262634989,0.769762419
adzes,0.227213823,1.062203024
aecia,0.285529158,1.065658747
aedes,0.35075594,0.997840173
aegis,0.278185745,1.245356371
aeons,0.365010799,1.27775378
aerie,0.486825054,1.076457883
aeros,0.308423326,1.458315335
aesir,0.359827214,1.395680346
afald,0.317926566,0.632829374
afara,0.290280778,0.582721382
afars,0.278185745,0.861339093
afear,0.302807775,1.025917927
aflaj,0.182721382,0.61987041
afore,0.418142549,1.171058315
afrit,0.312311015,1.098056156
afros,0.207343413,1.192656587
agama,0.255723542,0.425053996
agami,0.232829374,0.727429806
agars,0.279913607,0.900215983
agast,0.381425486,0.725269978
agave,0.401295896,0.670842333
agaze,0.390064795,0.632829374
agene,0.403887689,0.885529158
agers,0.223758099,1.381857451
agger,0.323974082,1.01987041
aggie,0.34600432,0.915766739
aggri,0.165442765,1.002159827
aggro,0.18574514,0.993088553
aggry,0.317926566,0.750323974
aghas,0.155939525,0.826349892
agila,0.278617711,0.832397408
agios,0.253563715,1.104967603
agism,0.272570194,0.923974082
agist,0.363714903,0.992224622
agita,0.268682505,0.850971922
aglee,0.43412527,0.897192225
aglet,0.360691145,1.184449244
agley,0.408639309,1.028509719
agloo,0.196112311,0.930885529
aglus,0.165010799,1.100215983
agmas,0.178401728,0.768898488
agoge,0.387041037,0.885961123
agone,0.432829374,1.07300216
agons,0.265658747,1.050971922
agood,0.279481641,0.727861771
agria,0.232397408,0.960691145
agrin,0.260907127,1.139524838
agros,0.209071274,1.231533477
agued,0.325701944,1.009071274
agues,0.290280778,1.151187905
aguna,0.24362851,0.743412527
aguti,0.202159827,1.084665227
aheap,0.294168467,0.897192225
ahent,0.387473002,1.149892009
ahigh,0.330885529,0.638444924
ahind,0.367602592,0.865226782
ahing,0.334341253,0.86825054
ahint,0.425917927,0.935205184
ahold,0.349460043,0.93650108
ahull,0.33174946,0.73174946
ahuru,0.260475162,0.8587473
aidas,0.266522678,0.861771058
aided,0.368898488,0.927861771
aides,0.333477322,1.220302376
aidoi,0.242332613,0.890280778
aidos,0.253131749,1.135637149
aiery,0.447516199,1.221598272
aigas,0.263066955,0.834989201
aight,0.298488121,0.954643629
ailed,0.384449244,1.182289417
aimed,0.362850972,1.053131749
aimer,0.403455724,1.21425486
ainee,0.528293737,0.911015119
ainga,0.268682505,0.800431965
aioli,0.328293737,0.923974082
aired,0.406911447,1.241900648
airer,0.447516199,1.067386609
airns,0.312742981,1.22462203
airth,0.338660907,1.146436285
airts,0.294168467,1.293736501
aitch,0.321814255,0.99524838
aitus,0.247084233,1.176673866
aiver,0.398272138,1.155075594
aiyee,0.480777538,0.901079914
aizle,0.405615551,1.016414687
ajies,0.329589633,1.076025918
ajiva,0.224190065,0.553779698
ajuga,0.193520518,0.567602592
ajwan,0.199568035,0.555939525
akees,0.294600432,0.981425486
akela,0.239308855,1.005615551
akene,0.403023758,0.844060475
aking,0.276457883,0.849676026
akita,0.267818575,0.80950324
akkas,0.15637149,0.623326134
alaap,0.374946004,0.476457883
alack,0.394816415,0.587904968
alamo,0.334773218,0.786609071
aland,0.409935205,0.689416847
alane,0.541684665,0.853563715
alang,0.376673866,0.692440605
alans,0.374514039,0.831533477
alant,0.46825054,0.759395248
alapa,0.329589633,0.521814255
alaps,0.3174946,0.800431965
alary,0.503239741,0.740388769
alate,0.523110151,0.922678186
alays,0.297192225,0.851403888
albas,0.258315335,0.825485961
albee,0.492440605,0.82462203
alcid,0.291144708,1.013390929
alcos,0.244492441,1.177969762
aldea,0.345140389,0.972354212
alder,0.409071274,1.239740821
aldol,0.304535637,0.84838013
aleck,0.338660907,1.069546436
alecs,0.305399568,1.282073434
alefs,0.254859611,1.228077754
aleft,0.348596112,1.155939525
aleph,0.305831533,1.134773218
alews,0.250539957,1.227213823
aleye,0.408207343,0.973650108
alfas,0.244492441,0.812958963
algal,0.314470842,0.547732181
algas,0.262634989,0.835421166
algid,0.295896328,0.944708423
algin,0.301079914,1.017278618
algor,0.325269978,1.128293737
algum,0.230237581,0.897192225
alias,0.348596112,0.899352052
alifs,0.293304536,1.013390929
aline,0.523974082,1.120518359
alist,0.445356371,1.060475162
aliya,0.291576674,0.869978402
alkie,0.403887689,1.090280778
alkos,0.225485961,1.090712743
alkyd,0.205183585,0.893736501
alkyl,0.221598272,0.748164147
allee,0.515766739,0.71663067
allel,0.400431965,0.757667387
allis,0.279481641,0.968898488
allod,0.303671706,0.84924406
allyl,0.264362851,0.618142549
almah,0.304535637,0.689848812
almas,0.260043197,0.837149028
almeh,0.371490281,1.04838013
almes,0.32699784,1.195680346
almud,0.260475162,0.897192225
almug,0.227213823,0.900215983
alods,0.298488121,1.090280778
aloed,0.441468683,1.13650108
aloes,0.406047516,1.278617711
aloha,0.29287257,0.86349892
aloin,0.377537797,1.101943844
aloos,0.325701944,0.938228942
alowe,0.446652268,1.055291577
altho,0.232829374,1.181425486
altos,0.26825054,1.248812095
alula,0.31663067,0.613390929
alums,0.263930886,1.000431965
alure,0.467386609,1.219006479
alvar,0.330885529,0.796976242
alway,0.386609071,0.579265659
amahs,0.237580994,0.743844492
amain,0.334341253,0.733909287
amate,0.452699784,0.842332613
amaut,0.354643629,0.682073434
amban,0.228509719,0.675593952
ambit,0.279481641,0.924406048
ambos,0.174514039,1.019006479
ambry,0.324838013,0.853131749
ameba,0.191792657,0.930453564
ameer,0.382721382,1.029805616
amene,0.41511879,0.873434125
amens,0.247948164,1.232829374
ament,0.341684665,1.160691145
amias,0.278185745,0.819006479
amice,0.440604752,1.009071274
amici,0.262634989,0.741684665
amide,0.40475162,1.011231102
amido,0.247084233,1.003887689
amids,0.237580994,0.989200864
amies,0.345140389,1.177537797
amiga,0.252699784,0.707559395
amigo,0.250107991,0.97062635
amine,0.453563715,1.040172786
amino,0.295896328,1.032829374
amins,0.286393089,1.018142549
amirs,0.273434125,1.155075594
amlas,0.211231102,0.885961123
amman,0.230237581,0.565010799
ammon,0.216846652,0.83887689
ammos,0.176241901,0.908423326
amnia,0.233261339,0.834989201
amnic,0.219006479,1.012526998
amnio,0.230669546,1.098056156
amoks,0.222030238,0.943412527
amole,0.435421166,1.111447084
amort,0.357667387,1.103671706
amour,0.309719222,1.060907127
amove,0.385313175,0.946436285
amowt,0.302807775,0.880777538
amped,0.290712743,0.99524838
ampul,0.205183585,0.942116631
amrit,0.325269978,1.124838013
amuck,0.263066955,0.736069114
amyls,0.17537797,1.071706263
anana,0.337365011,0.332613391
anata,0.318790497,0.62937365
ancho,0.159827214,1.117926566
ancle,0.37537797,1.183153348
ancon,0.235853132,0.88812095
andro,0.221598272,1.220302376
anear,0.336933045,1.140388769
anele,0.427645788,1.011663067
anent,0.362850972,1.020734341
angas,0.213390929,0.842764579
anglo,0.222462203,1.10712743
anigh,0.306263499,0.896328294
anile,0.466090713,1.178401728
anils,0.298920086,1.15637149
anima,0.270410367,0.797840173
animi,0.247516199,0.800863931
anion,0.326565875,0.88336933
anise,0.469546436,1.161987041
anker,0.332613391,1.201727862
ankhs,0.131317495,1.015982721
ankus,0.154643629,1.026349892
anlas,0.232397408,0.973650108
annal,0.296328294,0.653131749
annas,0.244492441,0.692008639
annat,0.338228942,0.61987041
anoas,0.289848812,0.927429806
anole,0.456587473,1.199136069
anomy,0.39049676,0.83887689
ansae,0.386177106,0.996112311
antae,0.399568035,1.004319654
antar,0.308423326,1.001295896
antas,0.232397408,0.982289417
anted,0.334773218,1.198704104
antes,0.299352052,1.340820734
antis,0.230237581,1.233693305
antra,0.239740821,1.069978402
antre,0.394816415,1.340388769
antsy,0.377105832,0.987473002
anura,0.263066955,0.955939525
anyon,0.224190065,0.886393089
apace,0.46825054,0.752915767
apage,0.435421166,0.721814255
apaid,0.339092873,0.672138229
apayd,0.272138229,0.639740821
apays,0.236717063,0.781857451
apeak,0.282937365,0.831965443
apeek,0.349892009,0.809071274
apers,0.244924406,1.380561555
apert,0.338660907,1.308423326
apery,0.386609071,1.152483801
apgar,0.278185745,0.78488121
aphis,0.174946004,1.076457883
apian,0.328725702,0.760259179
apiol,0.326565875,1.064794816
apish,0.335637149,0.915766739
apism,0.293736501,0.922678186
apode,0.405183585,1.042764579
apods,0.238012959,1.020734341
apoop,0.273866091,0.601727862
aport,0.367602592,1.114470842
appal,0.250107991,0.60950324
appay,0.339956803,0.420302376
appel,0.317062635,0.968034557
appro,0.203023758,0.999136069
appui,0.152483801,0.874298056
appuy,0.304967603,0.622462203
apres,0.310583153,1.314902808
apses,0.274730022,1.010367171
apsis,0.205615551,0.903239741
apsos,0.194384449,0.925701944
apted,0.323542117,1.121814255
apter,0.364146868,1.282937365
aquae,0.387473002,0.700647948
aquas,0.220302376,0.678617711
araba,0.346868251,0.552483801
araks,0.348164147,0.789632829
arame,0.520950324,0.847516199
arars,0.390064795,0.686393089
arbas,0.286825054,0.879049676
arced,0.388768898,1.174082073
archi,0.217278618,1.173218143
arcos,0.27300216,1.231533477
arcus,0.251403888,1.159827214
ardeb,0.35075594,1.133909287
ardri,0.279049676,0.939956803
aread,0.374082073,1.025485961
areae,0.505831533,0.808207343
areal,0.39049676,1.128725702
arear,0.414686825,0.850971922
areas,0.338660907,1.167602592
areca,0.34600432,1.087257019
aredd,0.333477322,1.045356371
arede,0.465226782,0.978401728
arefy,0.425053996,1.053563715
areic,0.334341253,1.348164147
arene,0.514038877,1.007343413
arepa,0.301943844,1.087257019
arere,0.501079914,0.808639309
arete,0.495464363,1.076457883
arets,0.328293737,1.435853132
arett,0.422030238,1.101943844
argal,0.342980562,0.850107991
argan,0.33174946,0.819438445
argil,0.340820734,1.101511879
argle,0.457883369,1.160691145
argol,0.329589633,1.123974082
argon,0.318358531,1.093304536
argot,0.371490281,1.090712743
argus,0.256155508,1.091144708
arhat,0.359827214,0.876025918
arias,0.377105832,0.952915767
ariel,0.495896328,1.272570194
ariki,0.319654428,0.811231102
arils,0.376673866,1.202591793
ariot,0.457451404,1.154643629
arish,0.42462203,1.03887689
arked,0.369762419,1.086825054
arled,0.412526998,1.236285097
arles,0.377105832,1.378401728
armed,0.390928726,1.10712743
armer,0.431533477,0.932613391
armet,0.44924406,1.177105832
armil,0.338228942,1.103239741
arnas,0.32224622,0.96587473
arnut,0.380993521,1.095896328
aroba,0.319654428,0.870410367
aroha,0.321382289,0.917062635
aroid,0.400863931,1.082937365
arpas,0.287257019,0.912742981
arpen,0.394816415,1.201727862
arrah,0.377105832,0.596544276
arras,0.332613391,0.743844492
arret,0.493304536,1.030237581
arris,0.330453564,0.99524838
arroz,0.305399568,0.78012959
arsed,0.399136069,1.236717063
arses,0.363714903,1.133477322
arsey,0.505399568,1.15075594
arsis,0.294600432,1.026349892
artal,0.361987041,0.989632829
artel,0.428941685,1.348164147
artic,0.305831533,1.209071274
artis,0.307991361,1.279913607
aruhe,0.442332613,1.128293737
arums,0.292440605,1.05399568
arval,0.335205184,0.792656587
arvee,0.5174946,0.830669546
arvos,0.269978402,1.105399568
aryls,0.274298056,1.205615551
asana,0.306695464,0.61987041
ascon,0.205183585,1.17537797
ascus,0.142980562,0.927861771
asdic,0.181857451,1.109719222
ashed,0.260043197,1.177969762
ashes,0.22462203,1.074730022
ashet,0.318358531,1.247948164
asked,0.261339093,1.100215983
asker,0.301943844,1.261339093
askoi,0.134773218,1.181425486
askos,0.145572354,0.912311015
aspen,0.286393089,1.21511879
asper,0.321814255,1.303671706
aspic,0.174514039,1.106695464
aspie,0.343844492,1.199568035
aspis,0.176673866,0.932181425
aspro,0.183585313,1.276889849
assai,0.177537797,0.812095032
assam,0.190928726,0.647948164
asses,0.255291577,0.881209503
assez,0.241468683,0.909287257
assot,0.268682505,0.990064795
aster,0.344708423,1.419438445
astir,0.275593952,1.312311015
astun,0.207343413,1.174514039
asura,0.232397408,1.015550756
asway,0.306695464,0.646220302
aswim,0.165442765,0.985313175
asyla,0.177969762,0.97062635
ataps,0.263930886,0.862634989
ataxy,0.385313175,0.521382289
atigi,0.246652268,0.853131749
atilt,0.388336933,0.877321814
atimy,0.395680346,0.87300216
atlas,0.228077754,1.028509719
atman,0.247084233,0.829805616
atmas,0.206479482,0.899352052
atmos,0.193088553,1.173218143
atocs,0.280777538,1.150323974
atoke,0.406047516,1.107991361
atoks,0.23887689,1.085961123
atoms,0.244492441,1.121814255
atomy,0.386177106,0.893736501
atony,0.435421166,0.953347732
atopy,0.378401728,0.92224622
atria,0.260475162,1.091144708
atrip,0.257019438,1.213822894
attap,0.236717063,0.649676026
attar,0.304103672,0.794384449
atuas,0.251403888,0.923110151
audad,0.295032397,0.494168467
auger,0.399136069,1.137365011
aught,0.291576674,0.879481641
aulas,0.275161987,0.890712743
aulic,0.270842333,1.071274298
auloi,0.250971922,1.188336933
aulos,0.261771058,1.164578834
aumil,0.303239741,0.974082073
aunes,0.354211663,1.19524838
aunts,0.276889849,1.104967603
aurae,0.464794816,0.972354212
aural,0.349460043,0.911447084
aurar,0.373650108,0.633693305
auras,0.29762419,0.950323974
aurei,0.353779698,1.332613391
aures,0.364578834,1.308855292
auric,0.293304536,1.130885529
auris,0.295464363,1.201727862
aurum,0.265226782,0.819006479
autos,0.261771058,1.173218143
auxin,0.270842333,0.851835853
avale,0.452699784,0.769330454
avant,0.387904968,0.62462203
avast,0.382721382,0.6587473
avels,0.22937365,1.228941685
avens,0.238012959,1.178401728
avers,0.225053996,1.315334773
avgas,0.182289417,0.700647948
avine,0.44362851,0.98574514
avion,0.295464363,0.968898488
avise,0.438444924,1.01987041
aviso,0.280777538,1.012526998
avize,0.373650108,0.833261339
avows,0.199136069,0.898488121
avyze,0.271274298,0.836285097
awarn,0.334341253,0.771058315
awato,0.29762419,0.787473002
awave,0.41511879,0.611231102
aways,0.22937365,0.723542117
awdls,0.197840173,0.984017279
aweel,0.36112311,0.924406048
aweto,0.241468683,1.269114471
awing,0.291144708,0.831533477
awmry,0.329157667,0.817278618
awned,0.328293737,1.000863931
awner,0.368898488,1.161987041
awols,0.270842333,1.041900648
awork,0.299784017,0.915766739
axels,0.228941685,1.180993521
axile,0.434557235,0.988336933
axils,0.267386609,0.966306695
axing,0.278185745,0.776673866
axite,0.42462203,1.006911447
axled,0.303239741,1
axles,0.267818575,1.142116631
axman,0.21987041,0.58488121
axmen,0.286825054,0.943412527
axoid,0.291576674,0.846652268
axone,0.433693305,0.958531317
axons,0.266522678,0.93650108
ayahs,0.231101512,0.801727862
ayaya,0.232397408,0.373650108
ayelp,0.241468683,1.215550756
aygre,0.348164147,1.171058315
ayins,0.279913607,1.076025918
ayont,0.364146868,1.02462203
ayres,0.294168467,1.361987041
ayrie,0.392224622,1.276889849
azans,0.288552916,0.653131749
azide,0.389200864,0.913174946
azido,0.231533477,0.905831533
azine,0.438012959,0.942116631
azlon,0.222894168,0.992224622
azoic,0.248812095,0.92224622
azole,0.41987041,1.013390929
azons,0.261339093,0.940820734
azote,0.409935205,1.031965443
azoth,0.287257019,0.862634989
azuki,0.161555076,0.809935205
azurn,0.254859611,0.949028078
azury,0.355939525,0.79049676
azygy,0.264362851,0.456155508
azyme,0.286393089,0.885529158
azyms,0.119222462,0.86349892
baaed,0.526565875,0.626781857
baals,0.423758099,0.660043197
babas,0.316198704,0.493736501
babel,0.434989201,0.813390929
babes,0.383153348,0.852267819
babka,0.281641469,0.349028078
baboo,0.312311015,0.526565875
babul,0.333045356,0.657019438
babus,0.281209503,0.695896328
bacca,0.323110151,0.420734341
bacco,0.320518359,0.683801296
baccy,0.452699784,0.441036717
bacha,0.269546436,0.625485961
bachs,0.257451404,0.873866091
backs,0.269114471,0.78574514
baddy,0.425053996,0.431965443
baels,0.367602592,1.141684665
baffs,0.247084233,0.625485961
baffy,0.388768898,0.397408207
bafts,0.292008639,0.859179266
baghs,0.262203024,0.805183585
bagie,0.485529158,0.886825054
bahts,0.285097192,0.940820734
bahus,0.260475162,0.874730022
bahut,0.354211663,0.802591793
bails,0.406047516,0.92699784
bairn,0.442332613,0.943844492
baisa,0.421598272,0.662203024
baith,0.440604752,0.798272138
baits,0.396112311,0.945572354
baiza,0.356803456,0.475593952
baize,0.51187905,0.74600432
bajan,0.333477322,0.453563715
bajra,0.300215983,0.610799136
bajri,0.277321814,0.882937365
bajus,0.257883369,0.725269978
baked,0.399136069,0.811231102
baken,0.404319654,0.883801296
bakes,0.363714903,0.953347732
bakra,0.304103672,0.6825054
balas,0.339524838,0.744276458
balds,0.298920086,0.914470842
baldy,0.440604752,0.686393089
baled,0.441900648,0.960691145
bales,0.406479482,1.102807775
balks,0.29287257,0.847948164
balky,0.434557235,0.61987041
balls,0.339092873,0.745140389
bally,0.480777538,0.517062635
balms,0.298488121,0.883801296
baloo,0.335637149,0.777105832
balsa,0.354643629,0.729157667
balti,0.318358531,1.036285097
balun,0.345140389,0.876889849
balus,0.304535637,0.946436285
bambi,0.247084233,0.674298056
banak,0.38488121,0.47775378
banco,0.35637149,0.87300216
bancs,0.346868251,0.858315335
banda,0.323110151,0.612095032
bandh,0.355507559,0.713174946
bands,0.311015119,0.860475162
bandy,0.452699784,0.632397408
baned,0.45399568,0.906695464
banes,0.418574514,1.048812095
bangs,0.314038877,0.827213823
bania,0.361555076,0.693304536
banks,0.304967603,0.793952484
banns,0.359827214,0.661771058
bants,0.3412527,0.958531317
bantu,0.326133909,0.904535637
banty,0.482937365,0.730453564
banya,0.294600432,0.660907127
bapus,0.281641469,0.839308855
barbe,0.469114471,0.861339093
barbs,0.301943844,0.839308855
barby,0.44362851,0.611231102
barca,0.369330454,0.723542117
barde,0.488552916,0.996112311
bardo,0.330885529,0.988768898
bards,0.321382289,0.974082073
bardy,0.463066955,0.74600432
bared,0.464362851,1.020302376
barer,0.504967603,0.845788337
bares,0.428941685,1.162419006
barfi,0.295896328,0.941684665
barfs,0.306695464,0.917926566
baric,0.357667387,0.984449244
barks,0.315334773,0.907559395
barky,0.457019438,0.679481641
barms,0.320950324,0.943412527
barmy,0.462634989,0.715334773
barns,0.370194384,1.003023758
barny,0.51187905,0.774946004
barps,0.313174946,0.971922246
barra,0.369330454,0.555939525
barre,0.524406048,0.826349892
barro,0.366738661,0.819006479
barry,0.498920086,0.576241901
barye,0.460043197,1.044924406
basan,0.366738661,0.675161987
based,0.428509719,0.96112311
basen,0.433693305,1.033693305
baser,0.469114471,1.12224622
bases,0.393088553,0.857883369
basho,0.277321814,0.951187905
basij,0.308423326,0.756803456
basks,0.279481641,0.603023758
bason,0.353347732,0.949028078
basse,0.496328294,0.754643629
bassi,0.318358531,0.75637149
basso,0.338660907,0.747300216
bassy,0.470842333,0.504535637
basta,0.327861771,0.764578834
basti,0.304967603,1.036717063
basto,0.325269978,1.027645788
basts,0.315766739,0.767602592
bated,0.441900648,0.969330454
bates,0.406479482,1.111447084
baths,0.281209503,0.944708423
batik,0.37062635,0.791792657
batta,0.3412527,0.511015119
batts,0.329157667,0.759395248
battu,0.314038877,0.705399568
bauds,0.32224622,0.809071274
bauks,0.316198704,0.742548596
baulk,0.395680346,0.676025918
baurs,0.358099352,0.974946004
bavin,0.351187905,0.737796976
bawds,0.262203024,0.755507559
bawks,0.256155508,0.688984881
bawls,0.30237581,0.834989201
bawns,0.311015119,0.784449244
bawrs,0.298056156,0.921382289
bawty,0.43412527,0.625485961
bayed,0.406479482,0.896760259
bayer,0.447084233,1.057883369
bayes,0.371058315,1.03887689
bayle,0.470842333,0.952051836
bayts,0.293736501,0.948596112
bazar,0.372354212,0.542116631
bazoo,0.292440605,0.555939525
beads,0.357235421,1.032397408
beaks,0.351187905,0.96587473
beaky,0.49287257,0.737796976
beals,0.397408207,1.11187905
beams,0.356803456,1.001727862
beamy,0.498488121,0.773650108
beano,0.415550756,1.076025918
beans,0.406047516,1.061339093
beany,0.547732181,0.833261339
beare,0.560259179,0.83887689
bears,0.393088553,1.198272138
beath,0.431965443,0.983153348
beats,0.387473002,1.130453564
beaty,0.529157667,0.90237581
beaus,0.362850972,1.064362851
beaut,0.456587473,0.992224622
beaux,0.35075594,0.825917927
bebop,0.285097192,0.73174946
becap,0.298056156,1.008207343
becke,0.409935205,0.516198704
becks,0.242764579,0.875593952
bedad,0.333045356,0.799568035
bedel,0.416414687,0.66825054
bedes,0.364578834,0.70712743
bedew,0.35637149,0.532613391
bedim,0.298056156,0.841036717
bedye,0.395680346,0.589632829
beedi,0.290280778,0.794384449
beefs,0.286393089,0.714470842
beeps,0.29287257,0.768466523
beers,0.336933045,0.93650108
beery,0.478617711,0.708423326
beets,0.331317495,0.868682505
befog,0.264794816,0.815550756
begad,0.329589633,0.923110151
begar,0.370194384,1.084233261
begem,0.363714903,0.539956803
begot,0.374514039,0.904967603
begum,0.261771058,0.765010799
beige,0.509719222,0.544708423
beigy,0.484233261,0.676025918
beins,0.388336933,0.966306695
bekah,0.314902808,0.899352052
belah,0.357667387,1.048812095
belar,0.389200864,1.21511879
belay,0.454859611,0.968034557
belee,0.547300216,0.379697624
belga,0.287688985,1.084665227
bells,0.312742981,0.834989201
belon,0.340388769,1.038444924
belts,0.302807775,1.10237581
bemad,0.32699784,0.924838013
bemas,0.291576674,1.066954644
bemix,0.277321814,0.717926566
bemud,0.292008639,0.765010799
bends,0.284665227,0.950323974
bendy,0.426349892,0.72224622
benes,0.392224622,0.757235421
benet,0.485961123,0.685097192
benga,0.299784017,1.030669546
benis,0.323110151,1.031533477
benne,0.500647948,0.392224622
benni,0.322678186,0.77537797
benny,0.475161987,0.523542117
bento,0.324406048,1.063066955
bents,0.314902808,1.04838013
benty,0.456587473,0.820302376
bepat,0.384017279,1.016846652
beray,0.477321814,1.027645788
beres,0.402591793,0.870842333
bergs,0.298056156,1.030669546
berko,0.298488121,1.012095032
berks,0.288984881,0.997408207
berme,0.461771058,0.673866091
berms,0.294600432,1.033261339
berob,0.311447084,0.9174946
beryl,0.318358531,1.073866091
besat,0.393520518,1.124406048
besaw,0.291576674,1.022030238
besee,0.533909287,0.38012959
beses,0.366738661,0.566306695
besit,0.391360691,1.013822894
besom,0.288984881,0.968034557
besot,0.38012959,1.036285097
besti,0.278617711,1.126565875
bests,0.289416847,0.857451404
betas,0.313174946,1.20475162
beted,0.415550756,0.67775378
betes,0.38012959,0.81987041
beths,0.254859611,1.034557235
betid,0.346436285,0.952051836
beton,0.340388769,1.047084233
betta,0.314902808,0.962850972
betty,0.444492441,0.621166307
bever,0.42937365,0.641900648
bevor,0.349028078,0.938660907
bevue,0.418574514,0.488552916
bevvy,0.377537797,0.439740821
bewet,0.437149028,0.58012959
bewig,0.276457883,0.787473002
bezes,0.336933045,0.590064795
bezil,0.319654428,0.825485961
bezzy,0.349892009,0.418574514
bhais,0.353347732,0.863930886
bhaji,0.275161987,0.687257019
bhang,0.36587473,0.672570194
bhats,0.345140389,0.880777538
bhels,0.298920086,0.981857451
bhoot,0.408639309,0.484233261
bhuna,0.314470842,0.791792657
bhuts,0.283801296,0.747300216
biach,0.420302376,0.723974082
biali,0.369330454,0.707559395
bialy,0.521814255,0.724838013
bibbs,0.212526998,0.454859611
bibes,0.339524838,0.783153348
biccy,0.409071274,0.371922246
bices,0.339092873,0.971490281
bided,0.382721382,0.637149028
bider,0.423326134,0.948596112
bides,0.347300216,0.929589633
bidet,0.441036717,0.857451404
bidis,0.278185745,0.553347732
bidon,0.307559395,0.77537797
bield,0.359395248,0.930453564
biers,0.319654428,1.158963283
biffo,0.212958963,0.571058315
biffs,0.203455724,0.55637149
biffy,0.345140389,0.328293737
bifid,0.292008639,0.361987041
bigae,0.444060475,0.928293737
biggs,0.239308855,0.55637149
biggy,0.380993521,0.328293737
bigha,0.230669546,0.849676026
bight,0.312311015,0.663930886
bigly,0.418142549,0.56587473
bigos,0.26349892,0.818142549
bijou,0.220734341,0.673866091
biked,0.355507559,0.742116631
biker,0.396112311,0.903239741
bikes,0.320086393,0.884233261
bikie,0.418142549,0.530021598
bilbo,0.245356371,0.725269978
bilby,0.377537797,0.4825054
biled,0.398272138,0.891576674
biles,0.362850972,1.033693305
bilgy,0.4,0.584017279
bilks,0.24924406,0.778833693
bills,0.295464363,0.676025918
bimah,0.318790497,0.760691145
bimas,0.274298056,0.907991361
bimbo,0.223758099,0.596112311
binal,0.359827214,0.944276458
bindi,0.256587473,0.54600432
binds,0.267386609,0.791360691
biner,0.450971922,0.998704104
bines,0.374946004,0.979697624
bings,0.270410367,0.758099352
bingy,0.412095032,0.530021598
binit,0.399568035,0.531317495
binks,0.261339093,0.724838013
bints,0.29762419,0.889416847
biogs,0.315766739,0.76587473
